ID,areaBuffer,areaImpact,areaLevels,areaPercentAgri,firstYR,lastYR,mostYR
62,11.41333735,Yes,Moderate,0.339938322,2017,2018,2017
63,15.71416052,Yes,Low,0.063627611,2018,2022,2018
64,4.250389631,No,None,0,,,
65,4.444428666,No,None,0,,,
66,4.118050983,No,None,0,,,
67,3.693269292,No,None,0,,,
68,27.17640646,Yes,High,0.626469381,2017,2022,2018
69,2.522812804,Yes,Moderate,0.25985684,2017,2022,2017
70,2.753912058,Yes,Low,0.046625935,2017,2021,2017
71,7.951932702,No,None,0,,,
72,7.09794309,No,None,0,,,
73,14.52820746,No,None,0,,,
74,6.019206252,Yes,High,0.748221793,2019,2021,2019
75,2.537290568,Yes,Moderate,0.329438433,2018,2022,2018
76,5.399483886,No,None,0,,,
77,9.08033427,No,None,0,,,
78,3.511110272,No,None,0,,,
79,3.518604827,No,None,0,,,
80,3.168250912,No,None,0,,,
81,4.929664348,No,None,0,,,
82,5.522297252,Yes,Moderate,0.434456771,2017,2022,2017
83,5.455928874,Yes,Extreme,0.983681438,2021,2022,2022
84,4.332675191,Yes,High,0.538943504,2017,2022,2022
85,7.157246196,No,None,0,,,
86,5.757088344,No,None,0,,,
87,2.593736608,Yes,Moderate,0.460066328,2019,2022,2019
88,23.76220421,Yes,Low,0.014699181,2017,2022,2022
89,4.606212639,No,None,0,,,
90,2.874980125,No,None,0,,,
91,5.783231405,Yes,Low,0.0724171,2021,2022,2021
92,3.671943029,Yes,Moderate,0.282533804,2020,2022,2020
93,3.159323649,No,None,0,,,
94,3.942887839,No,None,0,,,
95,7.461938689,Yes,High,0.501335719,2021,2022,2021
96,9.159692015,No,None,0,,,
97,21.45733784,No,None,0,,,
98,8.628816213,Yes,Low,0.005588357,2022,2022,2022
99,16.47369444,No,None,0,,,
100,11.7342198,No,None,0,,,
101,4.275217526,Yes,Extreme,0.770474406,2020,2022,2020
102,6.836767352,Yes,High,0.551455262,2022,2022,2022
103,19.60201637,Yes,Low,0.183762778,2022,2022,2022
104,20.11076758,Yes,Moderate,0.424129344,2020,2022,2020
105,28.75078651,Yes,Low,0.133574736,2017,2022,2017
106,6.769772107,Yes,High,0.716181906,2019,2022,2019
107,22.14336853,Yes,High,0.550437229,2021,2022,2022
108,9.698064055,No,None,0,,,
109,5.341550244,Yes,Extreme,0.797828937,2019,2022,2019
110,5.054649858,No,None,0,,,
111,6.49596411,No,None,0,,,
112,6.052075156,No,None,0,,,
113,4.137999012,No,None,0,,,
114,8.355470565,No,None,0,,,
115,10.02091074,No,None,0,,,
116,5.86811524,No,None,0,,,
117,4.646637509,Yes,High,0.581665133,2022,2022,2022
118,10.65127423,No,None,0,,,
119,8.385352335,Yes,High,0.711066527,2020,2022,2020
120,16.69417792,Yes,Low,0.067298005,2017,2022,2018
121,24.79760739,No,None,0,,,
122,1.926749212,Yes,Extreme,0.923187161,2020,2022,2020
123,10.80018223,Yes,Moderate,0.312838691,2017,2022,2018
124,16.13178638,Yes,Low,0.096215622,2017,2018,2017
125,7.344125148,No,None,0,,,
126,5.615601405,Yes,High,0.702582925,2019,2022,2019
127,7.675971325,No,None,0,,,
128,14.36246388,No,None,0,,,
129,6.386107946,No,None,0,,,
130,22.53255273,Yes,High,0.627741924,2021,2022,2021
131,7.390330206,Yes,High,0.663983183,2020,2022,2021
132,7.160429672,Yes,High,0.60309495,2021,2022,2022
133,6.734054759,Yes,Extreme,0.831016668,2021,2022,2022
134,44.04092091,No,None,0,,,
135,14.58601652,Yes,Low,0.038929176,2018,2018,2018
136,10.70592994,No,None,0,,,
137,4.165593561,No,None,0,,,
138,11.48307416,Yes,Low,0.016638145,2022,2022,2022
139,5.092451365,Yes,Extreme,0.999787188,2020,2022,2020
140,8.384744574,No,None,0,,,
141,15.72458924,No,None,0,,,
142,3.916514904,No,None,0,,,
143,6.482540284,No,None,0,,,
144,4.134381621,No,None,0,,,
145,24.61362214,Yes,Low,0.004141004,2021,2022,2021
146,10.73191361,Yes,Low,0.207916535,2017,2022,2017
147,6.876107483,Yes,High,0.523368764,2017,2021,2017
148,11.81827874,Yes,Low,0.102121518,2022,2022,2022
149,23.44456398,No,None,0,,,
150,29.04102603,No,None,0,,,
151,3.342584174,No,None,0,,,
152,4.716671872,No,None,0,,,
153,5.169825412,No,None,0,,,
154,19.64096012,Yes,Low,0.009964911,2022,2022,2022
155,17.71867732,No,None,0,,,
156,2.07059665,Yes,Extreme,1,2019,2021,2020
157,12.00478773,Yes,Low,0.010345487,2022,2022,2022
158,16.53161384,No,None,0,,,
159,5.923024972,No,None,0,,,
160,34.08637684,Yes,Low,0.234003646,2017,2022,2017
161,6.991513255,Yes,Extreme,0.790198243,2019,2022,2019
162,19.17812258,Yes,Moderate,0.445467493,2019,2022,2020
163,11.00577432,Yes,Low,0.11603488,2022,2022,2022
164,15.23610162,No,None,0,,,
165,13.21998423,No,None,0,,,
166,8.062976279,Yes,High,0.702660879,2019,2022,2021
167,7.917706771,Yes,High,0.673759341,2019,2022,2020
168,14.19393304,Yes,Low,0.012923299,2022,2022,2022
169,6.894201558,Yes,Moderate,0.263315196,2017,2022,2022
170,17.25638786,Yes,Moderate,0.489109787,2021,2022,2022
171,11.69200485,No,None,0,,,
172,7.900047599,No,None,0,,,
173,7.457060334,No,None,0,,,
174,10.37305815,Yes,Moderate,0.279387459,2017,2022,2022
175,21.46236375,No,None,0,,,
176,10.48114111,Yes,High,0.608323431,2020,2022,2020
177,22.43470335,Yes,Low,0.114072614,2017,2022,2017
178,12.69111493,Yes,Low,0.150742906,2017,2018,2017
179,4.839190119,No,None,0,,,
180,13.7183148,Yes,Low,0.105918285,2018,2022,2022
181,43.58122836,Yes,Low,0.048038154,2017,2022,2017
182,24.4358381,No,None,0,,,
183,24.23518316,Yes,Low,0.126506235,2017,2022,2022
184,11.63566928,Yes,Low,0.016525802,2021,2022,2022
185,13.0820691,Yes,Low,0.150451783,2017,2022,2017
186,11.30217853,No,None,0,,,
187,10.17115646,Yes,Low,0.023198496,2022,2022,2022
188,8.832954603,No,None,0,,,
189,9.297977098,Yes,Low,0.217562017,2017,2022,2019
190,11.07102642,No,None,0,,,
191,44.69155098,No,None,0,,,
192,10.70617199,No,None,0,,,
193,5.498158056,No,None,0,,,
194,8.276361956,No,None,0,,,
195,2.441693049,Yes,High,0.700915889,2017,2022,2018
196,24.64290672,Yes,Moderate,0.301770878,2017,2022,2017
197,16.4146066,Yes,Low,0.137663629,2017,2022,2017
198,13.68282671,Yes,Moderate,0.49809613,2017,2022,2019
199,13.51599511,Yes,High,0.608517127,2020,2022,2021
200,10.46293067,Yes,Moderate,0.47692101,2020,2022,2021
201,8.892324751,Yes,High,0.574185288,2020,2022,2021
202,6.849267305,No,None,0,,,
203,6.140006009,No,None,0,,,
204,8.704150193,No,None,0,,,
205,4.161382987,No,None,0,,,
206,20.80388863,No,None,0,,,
207,10.02272328,No,None,0,,,
208,14.47444602,No,None,0,,,
209,10.05261374,No,None,0,,,
210,9.693150331,No,None,0,,,
211,11.99280315,No,None,0,,,
212,3.590646227,No,None,0,,,
213,15.13616701,No,None,0,,,
214,2.517973169,No,None,0,,,
215,5.017160312,No,None,0,,,
216,6.304562944,No,None,0,,,
217,3.991230861,No,None,0,,,
218,16.41419754,No,None,0,,,
219,5.966861179,No,None,0,,,
220,22.4716213,Yes,Moderate,0.25420197,2017,2022,2017
221,14.94572698,Yes,Moderate,0.480078064,2017,2022,2017
222,9.861053324,Yes,Low,0.017233816,2018,2018,2018
223,15.22214217,Yes,Moderate,0.29918664,2017,2022,2017
224,3.249431505,Yes,High,0.585720452,2018,2018,2018
225,7.266189559,Yes,Moderate,0.347263126,2017,2022,2020
226,3.997352904,Yes,High,0.639824801,2018,2022,2018
227,10.04040065,Yes,Low,0.193160513,2021,2022,2022
228,6.78983745,Yes,Moderate,0.415020338,2018,2022,2022
229,7.5412818,Yes,Low,0.056795645,2017,2022,2022
230,8.676183575,Yes,Extreme,0.825855041,2017,2022,2017
231,9.35980876,Yes,Moderate,0.493736715,2017,2022,2018
232,3.499280966,Yes,Low,0.168411462,2017,2022,2017
233,4.761431532,Yes,Moderate,0.343374102,2017,2022,2017
234,13.92550046,No,None,0,,,
235,4.83562199,Yes,Low,0.036727375,2022,2022,2022
236,7.095781746,No,None,0,,,
237,6.060502791,Yes,Moderate,0.353286661,2017,2022,2017
238,7.122949241,Yes,Moderate,0.347180559,2020,2022,2020
239,4.247860332,No,None,0,,,
240,4.191709079,Yes,Extreme,0.905120645,2019,2022,2020
241,12.6190036,Yes,Moderate,0.475300636,2021,2022,2022
242,8.702886775,Yes,High,0.573279378,2017,2022,2017
243,8.209629528,No,None,0,,,
244,10.43390755,No,None,0,,,
245,7.032621692,Yes,Moderate,0.468332362,2020,2022,2021
246,6.224219003,Yes,High,0.617660933,2017,2022,2017
247,3.520403684,No,None,0,,,
248,4.161058679,Yes,High,0.688676391,2017,2022,2017
249,7.604378941,Yes,Low,0.211273548,2022,2022,2022
250,8.251389744,No,None,0,,,
251,13.29066723,No,None,0,,,
252,4.395656244,Yes,Low,0.169628115,2020,2022,2022
253,7.807496978,Yes,Low,0.099000391,2019,2022,2019
254,2.315391327,No,None,0,,,
255,7.140609955,No,None,0,,,
256,5.188755478,No,None,0,,,
257,4.732581168,No,None,0,,,
258,12.21453123,No,None,0,,,
259,7.18155262,No,None,0,,,
260,5.165704319,No,None,0,,,
261,4.984679645,No,None,0,,,
262,9.458110995,No,None,0,,,
263,5.239618367,Yes,Low,0.114521722,2022,2022,2022
264,3.279964955,Yes,Low,0.123253342,2022,2022,2022
265,14.68912135,Yes,Low,0.106270984,2022,2022,2022
266,12.09828847,Yes,Low,0.098666285,2022,2022,2022
267,10.92079234,Yes,Low,0.012647179,2022,2022,2022
268,2.744924239,Yes,Low,0.014504264,2022,2022,2022
269,7.318797725,No,None,0,,,
270,7.143621315,No,None,0,,,
271,12.8239206,No,None,0,,,
272,7.144571444,No,None,0,,,
273,4.752803687,No,None,0,,,
274,4.752803687,No,None,0,,,
275,7.478544373,No,None,0,,,
276,3.544515702,Yes,Low,0.004954606,2022,2022,2022
277,39.65747604,Yes,Low,0.048669665,2022,2022,2022
278,28.62081203,Yes,Low,0.187352931,2017,2022,2022
279,8.211095077,Yes,Moderate,0.264450256,2020,2022,2021
280,7.127531838,Yes,Low,0.003336872,2022,2022,2022
281,5.028730287,No,None,0,,,
282,4.854412556,No,None,0,,,
283,5.62487357,No,None,0,,,
284,4.769937772,No,None,0,,,
285,13.06777209,Yes,Moderate,0.356407428,2020,2022,2021
286,4.222759214,Yes,Low,0.216330926,2021,2022,2021
287,3.822395922,Yes,Extreme,0.888608701,2021,2022,2021
288,1.300363822,No,None,0,,,
289,6.260901362,No,None,0,,,
290,2.203692109,No,None,0,,,
291,15.78518335,No,None,0,,,
292,6.447781232,Yes,Low,0.07931578,2022,2022,2022
293,4.965755667,No,None,0,,,
294,6.866896466,No,None,0,,,
295,7.483877817,No,None,0,,,
296,3.589504875,No,None,0,,,
297,4.639351016,No,None,0,,,
298,5.563919278,Yes,Low,0.038048991,2018,2022,2019
299,2.391876662,No,None,0,,,
300,4.093243691,No,None,0,,,
301,3.101161254,No,None,0,,,
302,6.311611621,No,None,0,,,
303,15.93494571,Yes,Low,0.053782973,2019,2022,2022
304,2.012344514,No,None,0,,,
305,6.15112882,No,None,0,,,
306,7.307677709,Yes,Low,0.017983399,2017,2022,2018
307,2.777664564,Yes,Extreme,0.780568819,2018,2022,2020
308,2.138253688,No,None,0,,,
309,4.249670449,No,None,0,,,
310,4.319956315,No,None,0,,,
311,3.987718564,Yes,High,0.739226007,2020,2022,2021
312,7.040102491,No,None,0,,,
313,5.656843889,No,None,0,,,
314,9.518912171,Yes,Low,0.209680231,2017,2022,2022
315,6.735377089,Yes,Low,0.009498162,2017,2017,2017
316,2.837391351,No,None,0,,,
317,2.669737391,Yes,High,0.626658345,2021,2022,2022
318,7.614610744,No,None,0,,,
319,8.562408524,No,None,0,,,
320,2.293305489,Yes,High,0.514109635,2022,2022,2022
321,2.059532974,Yes,Low,0.017254429,2022,2022,2022
322,1.968364251,No,None,0,,,
323,3.68314654,Yes,Moderate,0.425909711,2020,2022,2021
324,2.297736771,No,None,0,,,
325,3.386721851,No,None,0,,,
326,3.211873136,No,None,0,,,
327,3.449337221,No,None,0,,,
328,1.609694067,No,None,0,,,
329,2.368430204,No,None,0,,,
330,4.775899848,No,None,0,,,
331,2.618148093,No,None,0,,,
332,1.809161191,No,None,0,,,
333,5.539562292,Yes,Extreme,1,2022,2022,2022
334,3.87242652,Yes,Moderate,0.483349807,2017,2022,2022
335,2.491484253,Yes,Low,0.013906181,2017,2019,2017
336,2.171674563,Yes,Low,0.072708133,2017,2022,2017
337,3.10316709,No,None,0,,,
